,Movie title,Released Year,ImDb Rating
662,Frankenweenie,(2012),6.9
663,Iron Sky,(2012),5.9
664,Monsters vs. Aliens,(2009),6.4
665,Gamer,(2009),5.7
666,House of Dracula,(1945),5.7
667,Critters,(1986),6.1
668,The Lego Movie 2: The Second Part,(2019),6.6
669,Neon Genesis Evangelion: The End of Evangelion,(1997),8
670,The Stepford Wives,(1975),6.9
671,Hotel Artemis,(2018),6.1
672,Thelma,(2017),7
673,RoboCop 2,(1990),5.8
674,Piranha,(1978),5.9
675,Ice Age: Collision Course,(2016),5.6
676,Frequency,(2000),7.4
677,The Cave,(2005),5.1
678,Extinction,(2018),5.8
679,A Scanner Darkly,(2006),7
680,Priest,(2011),5.7
681,The Day the Earth Stood Still,(1951),7.8
682,The Lazarus Effect,(2015),5.2
683,The Secret of NIMH,(1982),7.5
684,The X Files,(1998),7
685,Enemy Mine,(1985),6.8
686,Bad Taste,(1987),6.5
687,New Order,(2020),6.5
688,Resident Evil: Afterlife,(2010),5.8
689,Trollhunter,(2010),6.9
690,Zone 414,(2021),4.9
691,Star Trek: Nemesis,(2002),6.4
692,Spies in Disguise,(2019),6.8
693,Alligator,(1980),6.1
694,Johnny Mnemonic,(1995),5.6
695,Artemis Fowl,(2020),4.2
696,Songbird,(II) (2020),4.7
697,Project Wolf Hunting,(2022),7.5
698,"The World, the Flesh and the Devil",(1959),6.8
699,The Bride of Frankenstein,(1935),7.8
700,The One,(2001),5.9
701,The Vampire Bat,(1933),5.7
702,Supergirl,(1984),4.4
703,City of Ember,(2008),6.4
704,The Brood,(1979),6.8
705,Attack the Block,(2011),6.6
706,The Survivalist,(2015),6.4
707,The First Purge,(2018),5.2
708,Altered States,(1980),6.8
709,Surrogates,(2009),6.3
710,The Toxic Avenger,(1984),6.2
711,The War of the Worlds,(1953),7
712,Star Trek: Generations,(1994),6.6
713,Timeline,(2003),5.6
714,Jiu Jitsu,(2020),2.9
715,Carriers,(2009),6
716,Repo Men,(2010),6.3
717,DeepStar Six,(1989),5.3
718,Wizards,(1977),6.3
719,Invasion of the Body Snatchers,(1956),7.7
720,Invasion of the Bee Girls,(1973),4.9
721,009-1: The End of the Beginning,(2013),4.5
722,Volcano,(1997),5.5
723,Cloudy with a Chance of Meatballs 2,(2013),6.3
724,Fatman,(2020),5.9
725,The Nutty Professor,(1996),5.7
726,Code 8,(2019),6.1
